protein1 protein2 combined_score
208964.PA1580 208964.PA5036 627
208964.PA5036 208964.PA1580 627
208964.PA1580 208964.PA5046 627
208964.PA5046 208964.PA1580 627
208964.PA1580 208964.PA5116 248
208964.PA5116 208964.PA1580 248
208964.PA1580 208964.PA5145 435
208964.PA5145 208964.PA1580 435
208964.PA1580 208964.PA5192 600
208964.PA5192 208964.PA1580 600
208964.PA1580 208964.PA5253 509
208964.PA5253 208964.PA1580 509
208964.PA1580 208964.PA5263 776
208964.PA5263 208964.PA1580 776
208964.PA1580 208964.PA5429 823
208964.PA5429 208964.PA1580 823
208964.PA1580 208964.PA5435 943
208964.PA5435 208964.PA1580 943
208964.PA1580 208964.PA5436 863
208964.PA5436 208964.PA1580 863
208964.PA1580 208964.PA5554 163
208964.PA5554 208964.PA1580 163
208964.PA1580 208964.PA5555 189
208964.PA5555 208964.PA1580 189
208964.PA1580 208964.PA5557 189
208964.PA5557 208964.PA1580 189
208964.PA1581 208964.PA1582 999
208964.PA1582 208964.PA1581 999
208964.PA1581 208964.PA1583 999
208964.PA1583 208964.PA1581 999
208964.PA1581 208964.PA1584 999
208964.PA1584 208964.PA1581 999
208964.PA1581 208964.PA1585 627
208964.PA1585 208964.PA1581 627
208964.PA1581 208964.PA1588 962
208964.PA1588 208964.PA1581 962
208964.PA1581 208964.PA1589 962
208964.PA1589 208964.PA1581 962
208964.PA1581 208964.PA2008 996
208964.PA2008 208964.PA1581 996
208964.PA1581 208964.PA2243 690
208964.PA2243 208964.PA1581 690
208964.PA1581 208964.PA2298 690
208964.PA2298 208964.PA1581 690
208964.PA1581 208964.PA2471 963
208964.PA2471 208964.PA1581 963
208964.PA1581 208964.PA2639 428
208964.PA2639 208964.PA1581 428
208964.PA1581 208964.PA2828 962
208964.PA2828 208964.PA1581 962
208964.PA1581 208964.PA2840 286
208964.PA2840 208964.PA1581 286
208964.PA1581 208964.PA2951 242
208964.PA2951 208964.PA1581 242
208964.PA1581 208964.PA3139 853
208964.PA3139 208964.PA1581 853
208964.PA1581 208964.PA3228 316
208964.PA3228 208964.PA1581 316
208964.PA1581 208964.PA3466 286
208964.PA3466 208964.PA1581 286
208964.PA1581 208964.PA3798 853
208964.PA3798 208964.PA1581 853
208964.PA1581 208964.PA3861 286
208964.PA3861 208964.PA1581 286
208964.PA1581 208964.PA3872 612
208964.PA3872 208964.PA1581 612
208964.PA1581 208964.PA3950 286
208964.PA3950 208964.PA1581 286
208964.PA1581 208964.PA4222 316
208964.PA4222 208964.PA1581 316
208964.PA1581 208964.PA4223 316
208964.PA4223 208964.PA1581 316
208964.PA1581 208964.PA4258 696
208964.PA4258 208964.PA1581 696
208964.PA1581 208964.PA4333 997
208964.PA4333 208964.PA1581 997
208964.PA1581 208964.PA4385 578
208964.PA4385 208964.PA1581 578
208964.PA1581 208964.PA4429 205
208964.PA4429 208964.PA1581 205
208964.PA1581 208964.PA4470 990
208964.PA4470 208964.PA1581 990
208964.PA1581 208964.PA4772 776
208964.PA4772 208964.PA1581 776
208964.PA1581 208964.PA4944 731
208964.PA4944 208964.PA1581 731
208964.PA1581 208964.PA4976 853
208964.PA4976 208964.PA1581 853
208964.PA1581 208964.PA4997 316
208964.PA4997 208964.PA1581 316
208964.PA1581 208964.PA5263 962
208964.PA5263 208964.PA1581 962
208964.PA1581 208964.PA5299 447
208964.PA5299 208964.PA1581 447
208964.PA1581 208964.PA5445 985
208964.PA5445 208964.PA1581 985
208964.PA1582 208964.PA1583 986
208964.PA1583 208964.PA1582 986
208964.PA1582 208964.PA1584 996
208964.PA1584 208964.PA1582 996
208964.PA1582 208964.PA1588 962
208964.PA1588 208964.PA1582 962
208964.PA1582 208964.PA1589 962
208964.PA1589 208964.PA1582 962
208964.PA1582 208964.PA2008 996
208964.PA2008 208964.PA1582 996
208964.PA1582 208964.PA2243 277
208964.PA2243 208964.PA1582 277
208964.PA1582 208964.PA2298 277
208964.PA2298 208964.PA1582 277
208964.PA1582 208964.PA2471 963
208964.PA2471 208964.PA1582 963
208964.PA1582 208964.PA2828 962
208964.PA2828 208964.PA1582 962
208964.PA1582 208964.PA3139 853
208964.PA3139 208964.PA1582 853
208964.PA1582 208964.PA3798 853
208964.PA3798 208964.PA1582 853
208964.PA1582 208964.PA4333 997
208964.PA4333 208964.PA1582 997
208964.PA1582 208964.PA4426 194
208964.PA4426 208964.PA1582 194
208964.PA1582 208964.PA4454 190
208964.PA4454 208964.PA1582 190
208964.PA1582 208964.PA4470 990
208964.PA4470 208964.PA1582 990
208964.PA1582 208964.PA4668 199
208964.PA4668 208964.PA1582 199
208964.PA1582 208964.PA4772 315
208964.PA4772 208964.PA1582 315
208964.PA1582 208964.PA4976 853
208964.PA4976 208964.PA1582 853
208964.PA1582 208964.PA5130 194
208964.PA5130 208964.PA1582 194
208964.PA1582 208964.PA5263 962
208964.PA5263 208964.PA1582 962
208964.PA1582 208964.PA5445 976
208964.PA5445 208964.PA1582 976
208964.PA1583 208964.PA1584 999
208964.PA1584 208964.PA1583 999
208964.PA1583 208964.PA1585 514
208964.PA1585 208964.PA1583 514
208964.PA1583 208964.PA1588 969
208964.PA1588 208964.PA1583 969
208964.PA1583 208964.PA1589 972
208964.PA1589 208964.PA1583 972
208964.PA1583 208964.PA1736 863
208964.PA1736 208964.PA1583 863
208964.PA1583 208964.PA1756 460
208964.PA1756 208964.PA1583 460
208964.PA1583 208964.PA1800 341
208964.PA1800 208964.PA1583 341
208964.PA1583 208964.PA1838 170
208964.PA1838 208964.PA1583 170
208964.PA1583 208964.PA2001 471
208964.PA2001 208964.PA1583 471
208964.PA1583 208964.PA2008 996
208964.PA2008 208964.PA1583 996
208964.PA1583 208964.PA2014 387
208964.PA2014 208964.PA1583 387
208964.PA1583 208964.PA2042 188
208964.PA2042 208964.PA1583 188
208964.PA1583 208964.PA2083 386
208964.PA2083 208964.PA1583 386
208964.PA1583 208964.PA2471 964
208964.PA2471 208964.PA1583 964
208964.PA1583 208964.PA2512 386
208964.PA2512 208964.PA1583 386
208964.PA1583 208964.PA2514 396
208964.PA2514 208964.PA1583 396
208964.PA1583 208964.PA2516 396
208964.PA2516 208964.PA1583 396
208964.PA1583 208964.PA2518 386
208964.PA2518 208964.PA1583 386
208964.PA1583 208964.PA2553 471
208964.PA2553 208964.PA1583 471
208964.PA1583 208964.PA2623 384
208964.PA2623 208964.PA1583 384
208964.PA1583 208964.PA2639 168
208964.PA2639 208964.PA1583 168
208964.PA1583 208964.PA2641 159
208964.PA2641 208964.PA1583 159
208964.PA1583 208964.PA2642 185
208964.PA2642 208964.PA1583 185
208964.PA1583 208964.PA2644 395
208964.PA2644 208964.PA1583 395
208964.PA1583 208964.PA2828 962
208964.PA2828 208964.PA1583 962
208964.PA1583 208964.PA2888 387
208964.PA2888 208964.PA1583 387
208964.PA1583 208964.PA2940 471
208964.PA2940 208964.PA1583 471
208964.PA1583 208964.PA2979 190
208964.PA2979 208964.PA1583 190
208964.PA1583 208964.PA3013 471
208964.PA3013 208964.PA1583 471
208964.PA1583 208964.PA3025 242
208964.PA3025 208964.PA1583 242
208964.PA1583 208964.PA3112 969
208964.PA3112 208964.PA1583 969
208964.PA1583 208964.PA3118 463
208964.PA3118 208964.PA1583 463
208964.PA1583 208964.PA3139 853
208964.PA3139 208964.PA1583 853
208964.PA1583 208964.PA3228 169
208964.PA3228 208964.PA1583 169
208964.PA1583 208964.PA3454 471
208964.PA3454 208964.PA1583 471
208964.PA1583 208964.PA3500 386
208964.PA3500 208964.PA1583 386
208964.PA1583 208964.PA3525 329
208964.PA3525 208964.PA1583 329
208964.PA1583 208964.PA3570 805
208964.PA3570 208964.PA1583 805
208964.PA1583 208964.PA3580 190
208964.PA3580 208964.PA1583 190
208964.PA1583 208964.PA3584 261
208964.PA3584 208964.PA1583 261
208964.PA1583 208964.PA3589 471
208964.PA3589 208964.PA1583 471
208964.PA1583 208964.PA3639 962
208964.PA3639 208964.PA1583 962
208964.PA1583 208964.PA3736 382
208964.PA3736 208964.PA1583 382
208964.PA1583 208964.PA3798 853
208964.PA3798 208964.PA1583 853
208964.PA1583 208964.PA3810 301
208964.PA3810 208964.PA1583 301
208964.PA1583 208964.PA3925 471
208964.PA3925 208964.PA1583 471
208964.PA1583 208964.PA4017 308
208964.PA4017 208964.PA1583 308
208964.PA1583 208964.PA4067 381
208964.PA4067 208964.PA1583 381
208964.PA1583 208964.PA4110 201
208964.PA4110 208964.PA1583 201
208964.PA1583 208964.PA4122 808
208964.PA4122 208964.PA1583 808
208964.PA1583 208964.PA4130 170
208964.PA4130 208964.PA1583 170
208964.PA1583 208964.PA4138 170
208964.PA4138 208964.PA1583 170
208964.PA1583 208964.PA4222 169
208964.PA4222 208964.PA1583 169
208964.PA1583 208964.PA4223 169
208964.PA4223 208964.PA1583 169
208964.PA1583 208964.PA4250 460
208964.PA4250 208964.PA1583 460
208964.PA1583 208964.PA4258 375
208964.PA4258 208964.PA1583 375
208964.PA1583 208964.PA4331 396
208964.PA4331 208964.PA1583 396
208964.PA1583 208964.PA4333 937
208964.PA4333 208964.PA1583 937
208964.PA1583 208964.PA4385 165
208964.PA4385 208964.PA1583 165
208964.PA1583 208964.PA4397 190
208964.PA4397 208964.PA1583 190
208964.PA1583 208964.PA4429 150
208964.PA4429 208964.PA1583 150
208964.PA1583 208964.PA4431 157
208964.PA4431 208964.PA1583 157
208964.PA1583 208964.PA4442 435
208964.PA4442 208964.PA1583 435
208964.PA1583 208964.PA4443 460
208964.PA4443 208964.PA1583 460
208964.PA1583 208964.PA4470 676
208964.PA4470 208964.PA1583 676
208964.PA1583 208964.PA4615 396
208964.PA4615 208964.PA1583 396
208964.PA1583 208964.PA4631 308
208964.PA4631 208964.PA1583 308
208964.PA1583 208964.PA4761 301
208964.PA4761 208964.PA1583 301
208964.PA1583 208964.PA4785 863
208964.PA4785 208964.PA1583 863
208964.PA1583 208964.PA4847 962
208964.PA4847 208964.PA1583 962
208964.PA1583 208964.PA4848 853
208964.PA4848 208964.PA1583 853
208964.PA1583 208964.PA4873 301
208964.PA4873 208964.PA1583 301
208964.PA1583 208964.PA4904 386
208964.PA4904 208964.PA1583 386
208964.PA1583 208964.PA4976 853
208964.PA4976 208964.PA1583 853
208964.PA1583 208964.PA4997 169
208964.PA4997 208964.PA1583 169
208964.PA1583 208964.PA5022 196
208964.PA5022 208964.PA1583 196
208964.PA1583 208964.PA5153 188
208964.PA5153 208964.PA1583 188
208964.PA1583 208964.PA5192 308
208964.PA5192 208964.PA1583 308
208964.PA1583 208964.PA5236 396
208964.PA5236 208964.PA1583 396
208964.PA1583 208964.PA5240 341
208964.PA5240 208964.PA1583 341
208964.PA1583 208964.PA5253 395
208964.PA5253 208964.PA1583 395
208964.PA1583 208964.PA5263 962
208964.PA5263 208964.PA1583 962
208964.PA1583 208964.PA5275 507
208964.PA5275 208964.PA1583 507
208964.PA1583 208964.PA5299 272
208964.PA5299 208964.PA1583 272
208964.PA1583 208964.PA5410 386
208964.PA5410 208964.PA1583 386
208964.PA1583 208964.PA5435 465
208964.PA5435 208964.PA1583 465
208964.PA1583 208964.PA5436 961
208964.PA5436 208964.PA1583 961
208964.PA1583 208964.PA5445 987
208964.PA5445 208964.PA1583 987
208964.PA1583 208964.PA5568 359
208964.PA5568 208964.PA1583 359
208964.PA1584 208964.PA1585 183
208964.PA1585 208964.PA1584 183
208964.PA1584 208964.PA1588 965
208964.PA1588 208964.PA1584 965
208964.PA1584 208964.PA1589 987
208964.PA1589 208964.PA1584 987
208964.PA1584 208964.PA1736 863
208964.PA1736 208964.PA1584 863
208964.PA1584 208964.PA1802 159
208964.PA1802 208964.PA1584 159
208964.PA1584 208964.PA2001 471
208964.PA2001 208964.PA1584 471
208964.PA1584 208964.PA2008 995
208964.PA2008 208964.PA1584 995
208964.PA1584 208964.PA2014 402
208964.PA2014 208964.PA1584 402
208964.PA1584 208964.PA2104 491
208964.PA2104 208964.PA1584 491
208964.PA1584 208964.PA2257 460
208964.PA2257 208964.PA1584 460
208964.PA1584 208964.PA2297 461
208964.PA2297 208964.PA1584 461
208964.PA1584 208964.PA2471 964
208964.PA2471 208964.PA1584 964
208964.PA1584 208964.PA2482 460
208964.PA2482 208964.PA1584 460
208964.PA1584 208964.PA2514 457
208964.PA2514 208964.PA1584 457
208964.PA1584 208964.PA2516 457
208964.PA2516 208964.PA1584 457
208964.PA1584 208964.PA2553 471
208964.PA2553 208964.PA1584 471
208964.PA1584 208964.PA2623 185
208964.PA2623 208964.PA1584 185
208964.PA1584 208964.PA2638 234
208964.PA2638 208964.PA1584 234
208964.PA1584 208964.PA2639 233
208964.PA2639 208964.PA1584 233
208964.PA1584 208964.PA2640 222
208964.PA2640 208964.PA1584 222
208964.PA1584 208964.PA2641 222
208964.PA2641 208964.PA1584 222
208964.PA1584 208964.PA2642 236
208964.PA2642 208964.PA1584 236
208964.PA1584 208964.PA2644 514
208964.PA2644 208964.PA1584 514
208964.PA1584 208964.PA2709 491
208964.PA2709 208964.PA1584 491
208964.PA1584 208964.PA2715 461
208964.PA2715 208964.PA1584 461
208964.PA1584 208964.PA2802 154
208964.PA2802 208964.PA1584 154
208964.PA1584 208964.PA2828 962
208964.PA2828 208964.PA1584 962
208964.PA1584 208964.PA2840 165
208964.PA2840 208964.PA1584 165
208964.PA1584 208964.PA2888 402
208964.PA2888 208964.PA1584 402
208964.PA1584 208964.PA2940 471
208964.PA2940 208964.PA1584 471
208964.PA1584 208964.PA3013 471
208964.PA3013 208964.PA1584 471
208964.PA1584 208964.PA3112 962
208964.PA3112 208964.PA1584 962
208964.PA1584 208964.PA3118 218
208964.PA3118 208964.PA1584 218
208964.PA1584 208964.PA3139 866
208964.PA3139 208964.PA1584 866
208964.PA1584 208964.PA3228 232
208964.PA3228 208964.PA1584 232
208964.PA1584 208964.PA3249 154
208964.PA3249 208964.PA1584 154
208964.PA1584 208964.PA3454 471
208964.PA3454 208964.PA1584 471
208964.PA1584 208964.PA3466 165
208964.PA3466 208964.PA1584 165
208964.PA1584 208964.PA3556 160
208964.PA3556 208964.PA1584 160
208964.PA1584 208964.PA3570 805
208964.PA3570 208964.PA1584 805
208964.PA1584 208964.PA3579 152
208964.PA3579 208964.PA1584 152
208964.PA1584 208964.PA3582 152
208964.PA3582 208964.PA1584 152
208964.PA1584 208964.PA3589 471
208964.PA3589 208964.PA1584 471
208964.PA1584 208964.PA3621 461
208964.PA3621 208964.PA1584 461
208964.PA1584 208964.PA3639 962
208964.PA3639 208964.PA1584 962
208964.PA1584 208964.PA3798 853
208964.PA3798 208964.PA1584 853
208964.PA1584 208964.PA3810 343
208964.PA3810 208964.PA1584 343
208964.PA1584 208964.PA3811 929
208964.PA3811 208964.PA1584 929
208964.PA1584 208964.PA3813 687
208964.PA3813 208964.PA1584 687
208964.PA1584 208964.PA3861 165
208964.PA3861 208964.PA1584 165
208964.PA1584 208964.PA3925 471
208964.PA3925 208964.PA1584 471
208964.PA1584 208964.PA3950 165
208964.PA3950 208964.PA1584 165
208964.PA1584 208964.PA4067 341
208964.PA4067 208964.PA1584 341
208964.PA1584 208964.PA4110 194
208964.PA4110 208964.PA1584 194
208964.PA1584 208964.PA4122 808
208964.PA4122 208964.PA1584 808
208964.PA1584 208964.PA4222 232
208964.PA4222 208964.PA1584 232
208964.PA1584 208964.PA4223 232
208964.PA4223 208964.PA1584 232
208964.PA1584 208964.PA4250 527
208964.PA4250 208964.PA1584 527
208964.PA1584 208964.PA4258 449
208964.PA4258 208964.PA1584 449
208964.PA1584 208964.PA4331 457
208964.PA4331 208964.PA1584 457
208964.PA1584 208964.PA4333 986
208964.PA4333 208964.PA1584 986
208964.PA1584 208964.PA4385 150
208964.PA4385 208964.PA1584 150
208964.PA1584 208964.PA4400 202
208964.PA4400 208964.PA1584 202
208964.PA1584 208964.PA4429 189
208964.PA4429 208964.PA1584 189
208964.PA1584 208964.PA4430 386
208964.PA4430 208964.PA1584 386
208964.PA1584 208964.PA4431 189
208964.PA4431 208964.PA1584 189
208964.PA1584 208964.PA4470 951
208964.PA4470 208964.PA1584 951
208964.PA1584 208964.PA4615 457
208964.PA4615 208964.PA1584 457
208964.PA1584 208964.PA4670 168
208964.PA4670 208964.PA1584 168
208964.PA1584 208964.PA4761 343
208964.PA4761 208964.PA1584 343
208964.PA1584 208964.PA4785 863
208964.PA4785 208964.PA1584 863
208964.PA1584 208964.PA4818 160
208964.PA4818 208964.PA1584 160
208964.PA1584 208964.PA4847 962
208964.PA4847 208964.PA1584 962
208964.PA1584 208964.PA4848 853
208964.PA4848 208964.PA1584 853
208964.PA1584 208964.PA4873 343
208964.PA4873 208964.PA1584 343
208964.PA1584 208964.PA4976 853
208964.PA4976 208964.PA1584 853
208964.PA1584 208964.PA4997 232
208964.PA4997 208964.PA1584 232
208964.PA1584 208964.PA5025 752
208964.PA5025 208964.PA1584 752
208964.PA1584 208964.PA5110 192
208964.PA5110 208964.PA1584 192
208964.PA1584 208964.PA5195 203
208964.PA5195 208964.PA1584 203
208964.PA1584 208964.PA5236 457
208964.PA5236 208964.PA1584 457
208964.PA1584 208964.PA5253 514
208964.PA5253 208964.PA1584 514
208964.PA1584 208964.PA5263 962
208964.PA5263 208964.PA1584 962
208964.PA1584 208964.PA5275 473
208964.PA5275 208964.PA1584 473
208964.PA1584 208964.PA5299 306
208964.PA5299 208964.PA1584 306
208964.PA1584 208964.PA5355 163
208964.PA5355 208964.PA1584 163
208964.PA1584 208964.PA5436 961
208964.PA5436 208964.PA1584 961
208964.PA1584 208964.PA5445 870
208964.PA5445 208964.PA1584 870
208964.PA1584 208964.PA5490 460
208964.PA5490 208964.PA1584 460
208964.PA1584 208964.PA5554 163
208964.PA5554 208964.PA1584 163
208964.PA1584 208964.PA5555 190
208964.PA5555 208964.PA1584 190
208964.PA1584 208964.PA5556 191
208964.PA5556 208964.PA1584 191
208964.PA1584 208964.PA5557 190
208964.PA5557 208964.PA1584 190
208964.PA1585 208964.PA1586 999
208964.PA1586 208964.PA1585 999
208964.PA1585 208964.PA1587 867
208964.PA1587 208964.PA1585 867
208964.PA1585 208964.PA1588 990
208964.PA1588 208964.PA1585 990
208964.PA1585 208964.PA1589 999
208964.PA1589 208964.PA1585 999
208964.PA1585 208964.PA1614 192
208964.PA1614 208964.PA1585 192
208964.PA1585 208964.PA1654 262
208964.PA1654 208964.PA1585 262
208964.PA1585 208964.PA1665 818
208964.PA1665 208964.PA1585 818
208964.PA1585 208964.PA1717 818
208964.PA1717 208964.PA1585 818
208964.PA1585 208964.PA1818 159
208964.PA1818 208964.PA1585 159
208964.PA1585 208964.PA1886 193
208964.PA1886 208964.PA1585 193
208964.PA1585 208964.PA1973 585
208964.PA1973 208964.PA1585 585
208964.PA1585 208964.PA2025 406
208964.PA2025 208964.PA1585 406
208964.PA1585 208964.PA2032 262
208964.PA2032 208964.PA1585 262
208964.PA1585 208964.PA2074 255
208964.PA2074 208964.PA1585 255
208964.PA1585 208964.PA2100 262
208964.PA2100 208964.PA1585 262
208964.PA1585 208964.PA2217 616
208964.PA2217 208964.PA1585 616
208964.PA1585 208964.PA2243 514
208964.PA2243 208964.PA1585 514
208964.PA1585 208964.PA2247 483
208964.PA2247 208964.PA1585 483
208964.PA1585 208964.PA2248 543
208964.PA2248 208964.PA1585 543
208964.PA1585 208964.PA2249 453
208964.PA2249 208964.PA1585 453
208964.PA1585 208964.PA2250 867
208964.PA2250 208964.PA1585 867
208964.PA1585 208964.PA2298 514
208964.PA2298 208964.PA1585 514
208964.PA1585 208964.PA2502 391
208964.PA2502 208964.PA1585 391
208964.PA1585 208964.PA2585 251
208964.PA2585 208964.PA1585 251
208964.PA1585 208964.PA2621 360
208964.PA2621 208964.PA1585 360
208964.PA1585 208964.PA2623 892
208964.PA2623 208964.PA1585 892
208964.PA1585 208964.PA2624 665
208964.PA2624 208964.PA1585 665
208964.PA1585 208964.PA2629 311
208964.PA2629 208964.PA1585 311
208964.PA1585 208964.PA2639 336
208964.PA2639 208964.PA1585 336
208964.PA1585 208964.PA2828 370
208964.PA2828 208964.PA1585 370
208964.PA1585 208964.PA2897 262
208964.PA2897 208964.PA1585 262
208964.PA1585 208964.PA2991 406
208964.PA2991 208964.PA1585 406
208964.PA1585 208964.PA3083 199
208964.PA3083 208964.PA1585 199
208964.PA1585 208964.PA3093 255
208964.PA3093 208964.PA1585 255
208964.PA1585 208964.PA3118 905
208964.PA3118 208964.PA1585 905
208964.PA1585 208964.PA3139 603
208964.PA3139 208964.PA1585 603
208964.PA1585 208964.PA3151 392
208964.PA3151 208964.PA1585 392
208964.PA1585 208964.PA3251 643
208964.PA3251 208964.PA1585 643
208964.PA1585 208964.PA3366 255
208964.PA3366 208964.PA1585 255
208964.PA1585 208964.PA3415 453
208964.PA3415 208964.PA1585 453
208964.PA1585 208964.PA3416 543
208964.PA3416 208964.PA1585 543
208964.PA1585 208964.PA3417 483
208964.PA3417 208964.PA1585 483
208964.PA1585 208964.PA3418 628
208964.PA3418 208964.PA1585 628
208964.PA1585 208964.PA3516 311
208964.PA3516 208964.PA1585 311
208964.PA1585 208964.PA3517 311
208964.PA3517 208964.PA1585 311
208964.PA1585 208964.PA3598 255
208964.PA3598 208964.PA1585 255
208964.PA1585 208964.PA3602 380
208964.PA3602 208964.PA1585 380
208964.PA1585 208964.PA3656 392
208964.PA3656 208964.PA1585 392
208964.PA1585 208964.PA3659 370
208964.PA3659 208964.PA1585 370
208964.PA1585 208964.PA3797 255
208964.PA3797 208964.PA1585 255
208964.PA1585 208964.PA3798 370
208964.PA3798 208964.PA1585 370
208964.PA1585 208964.PA3987 423
208964.PA3987 208964.PA1585 423
208964.PA1585 208964.PA3996 185
208964.PA3996 208964.PA1585 185
208964.PA1585 208964.PA4132 262
208964.PA4132 208964.PA1585 262
208964.PA1585 208964.PA4150 483
208964.PA4150 208964.PA1585 483
208964.PA1585 208964.PA4151 543
208964.PA4151 208964.PA1585 543
208964.PA1585 208964.PA4152 453
208964.PA4152 208964.PA1585 453
208964.PA1585 208964.PA4165 262
208964.PA4165 208964.PA1585 262
208964.PA1585 208964.PA4209 165
208964.PA4209 208964.PA1585 165
208964.PA1585 208964.PA4232 186
208964.PA4232 208964.PA1585 186
208964.PA1585 208964.PA4241 194
208964.PA4241 208964.PA1585 194
208964.PA1585 208964.PA4244 399
208964.PA4244 208964.PA1585 399
208964.PA1585 208964.PA4267 272
208964.PA4267 208964.PA1585 272
208964.PA1585 208964.PA4429 427
208964.PA4429 208964.PA1585 427
208964.PA1585 208964.PA4433 226
208964.PA4433 208964.PA1585 226
208964.PA1585 208964.PA4470 759
208964.PA4470 208964.PA1585 759
208964.PA1585 208964.PA4475 255
208964.PA4475 208964.PA1585 255
208964.PA1585 208964.PA4476 209
208964.PA4476 208964.PA1585 209
208964.PA1585 208964.PA4560 423
208964.PA4560 208964.PA1585 423
208964.PA1585 208964.PA4588 628
208964.PA4588 208964.PA1585 628
208964.PA1585 208964.PA4670 931
208964.PA4670 208964.PA1585 931
208964.PA1585 208964.PA4715 370
208964.PA4715 208964.PA1585 370
208964.PA1585 208964.PA4722 370
208964.PA4722 208964.PA1585 370
208964.PA1585 208964.PA4772 183
208964.PA4772 208964.PA1585 183
208964.PA1585 208964.PA4802 255
208964.PA4802 208964.PA1585 255
208964.PA1585 208964.PA4829 867
208964.PA4829 208964.PA1585 867
208964.PA1585 208964.PA4976 370
208964.PA4976 208964.PA1585 370
208964.PA1585 208964.PA4978 769
208964.PA4978 208964.PA1585 769
208964.PA1585 208964.PA5015 855
208964.PA5015 208964.PA1585 855
208964.PA1585 208964.PA5016 453
208964.PA5016 208964.PA1585 453
208964.PA1585 208964.PA5036 380
208964.PA5036 208964.PA1585 380
208964.PA1585 208964.PA5140 392
208964.PA5140 208964.PA1585 392
208964.PA1585 208964.PA5252 189
208964.PA5252 208964.PA1585 189
208964.PA1585 208964.PA5263 543
208964.PA5263 208964.PA1585 543
208964.PA1585 208964.PA5283 262
208964.PA5283 208964.PA1585 262
208964.PA1585 208964.PA5431 262
208964.PA5431 208964.PA1585 262
208964.PA1586 208964.PA1587 826
208964.PA1587 208964.PA1586 826
208964.PA1586 208964.PA1588 958
208964.PA1588 208964.PA1586 958
208964.PA1586 208964.PA1589 956
208964.PA1589 208964.PA1586 956
208964.PA1586 208964.PA1638 282
208964.PA1638 208964.PA1586 282
208964.PA1586 208964.PA1665 402
208964.PA1665 208964.PA1586 402
208964.PA1586 208964.PA1717 402
208964.PA1717 208964.PA1586 402
208964.PA1586 208964.PA1736 921
208964.PA1736 208964.PA1586 921
208964.PA1586 208964.PA1800 360
208964.PA1800 208964.PA1586 360
208964.PA1586 208964.PA1991 397
208964.PA1991 208964.PA1586 397
208964.PA1586 208964.PA2001 390
208964.PA2001 208964.PA1586 390
208964.PA1586 208964.PA2011 787
208964.PA2011 208964.PA1586 787
208964.PA1586 208964.PA2247 155
208964.PA2247 208964.PA1586 155
208964.PA1586 208964.PA2248 195
208964.PA2248 208964.PA1586 195
208964.PA1586 208964.PA2250 915
208964.PA2250 208964.PA1586 915
208964.PA1586 208964.PA2253 192
208964.PA2253 208964.PA1586 192
208964.PA1586 208964.PA2297 395
208964.PA2297 208964.PA1586 395
208964.PA1586 208964.PA2413 203
208964.PA2413 208964.PA1586 203
208964.PA1586 208964.PA2502 339
208964.PA2502 208964.PA1586 339
208964.PA1586 208964.PA2553 921
208964.PA2553 208964.PA1586 921
208964.PA1586 208964.PA2555 567
208964.PA2555 208964.PA1586 567
208964.PA1586 208964.PA2585 251
208964.PA2585 208964.PA1586 251
208964.PA1586 208964.PA2644 430
208964.PA2644 208964.PA1586 430
208964.PA1586 208964.PA2715 395
208964.PA2715 208964.PA1586 395
208964.PA1586 208964.PA2940 390
208964.PA2940 208964.PA1586 390
208964.PA1586 208964.PA3013 390
208964.PA3013 208964.PA1586 390
208964.PA1586 208964.PA3068 455
208964.PA3068 208964.PA1586 455
208964.PA1586 208964.PA3112 997
208964.PA3112 208964.PA1586 997
208964.PA1586 208964.PA3118 420
208964.PA3118 208964.PA1586 420
208964.PA1586 208964.PA3416 195
208964.PA3416 208964.PA1586 195
208964.PA1586 208964.PA3417 155
208964.PA3417 208964.PA1586 155
208964.PA1586 208964.PA3418 205
208964.PA3418 208964.PA1586 205
208964.PA1586 208964.PA3454 390
208964.PA3454 208964.PA1586 390
208964.PA1586 208964.PA3568 567
208964.PA3568 208964.PA1586 567
208964.PA1586 208964.PA3570 595
208964.PA3570 208964.PA1586 595
208964.PA1586 208964.PA3589 390
208964.PA3589 208964.PA1586 390
208964.PA1586 208964.PA3621 395
208964.PA3621 208964.PA1586 395
208964.PA1586 208964.PA3639 997
208964.PA3639 208964.PA1586 997
208964.PA1586 208964.PA3650 216
208964.PA3650 208964.PA1586 216
208964.PA1586 208964.PA3674 189
208964.PA3674 208964.PA1586 189
208964.PA1586 208964.PA3781 196
208964.PA3781 208964.PA1586 196
208964.PA1586 208964.PA3925 921
208964.PA3925 208964.PA1586 921
208964.PA1586 208964.PA4138 170
208964.PA4138 208964.PA1586 170
208964.PA1586 208964.PA4150 155
208964.PA4150 208964.PA1586 155
208964.PA1586 208964.PA4151 195
208964.PA4151 208964.PA1586 195
208964.PA1586 208964.PA4258 283
208964.PA4258 208964.PA1586 283
208964.PA1586 208964.PA4406 682
208964.PA4406 208964.PA1586 682
208964.PA1586 208964.PA4470 228
208964.PA4470 208964.PA1586 228
208964.PA1586 208964.PA4476 209
208964.PA4476 208964.PA1586 209
208964.PA1586 208964.PA4481 194
208964.PA4481 208964.PA1586 194
208964.PA1586 208964.PA4583 194
208964.PA4583 208964.PA1586 194
208964.PA1586 208964.PA4588 205
208964.PA4588 208964.PA1586 205
208964.PA1586 208964.PA4670 511
