protein1 protein2 combined_score
208964.PA0546 208964.PA0004 260
208964.PA0004 208964.PA0729 379
208964.PA0729 208964.PA0004 379
208964.PA0004 208964.PA0799 571
208964.PA0799 208964.PA0004 571
208964.PA0004 208964.PA1179 209
208964.PA1179 208964.PA0004 209
208964.PA0004 208964.PA1296 341
208964.PA1296 208964.PA0004 341
208964.PA0004 208964.PA1375 341
208964.PA1375 208964.PA0004 341
208964.PA0004 208964.PA1409 211
208964.PA1409 208964.PA0004 211
208964.PA0004 208964.PA1505 230
208964.PA1505 208964.PA0004 230
208964.PA0004 208964.PA1527 314
208964.PA1527 208964.PA0004 314
208964.PA0004 208964.PA1681 206
208964.PA1681 208964.PA0004 206
208964.PA0004 208964.PA1816 341
208964.PA1816 208964.PA0004 341
208964.PA0004 208964.PA1886 218
208964.PA1886 208964.PA0004 218
208964.PA0004 208964.PA2019 624
208964.PA2019 208964.PA0004 624
208964.PA0004 208964.PA2244 611
208964.PA2244 208964.PA0004 611
208964.PA0004 208964.PA2350 172
208964.PA2350 208964.PA0004 172
208964.PA0004 208964.PA2407 244
208964.PA2407 208964.PA0004 244
208964.PA0004 208964.PA2539 357
208964.PA2539 208964.PA0004 357
208964.PA0004 208964.PA2961 161
208964.PA2961 208964.PA0004 161
208964.PA0004 208964.PA3011 863
208964.PA3011 208964.PA0004 863
208964.PA0004 208964.PA3168 980
208964.PA3168 208964.PA0004 980
208964.PA0004 208964.PA3232 341
208964.PA3232 208964.PA0004 341
208964.PA0004 208964.PA3297 364
208964.PA3297 208964.PA0004 364
208964.PA0004 208964.PA3308 571
208964.PA3308 208964.PA0004 571
208964.PA0004 208964.PA3344 871
208964.PA3344 208964.PA0004 871
208964.PA0004 208964.PA3528 341
208964.PA3528 208964.PA0004 341
208964.PA0004 208964.PA3617 301
208964.PA3617 208964.PA0004 301
208964.PA0004 208964.PA3774 211
208964.PA3774 208964.PA0004 211
208964.PA0004 208964.PA3810 349
208964.PA3810 208964.PA0004 349
208964.PA0004 208964.PA3870 230
208964.PA3870 208964.PA0004 230
208964.PA0004 208964.PA3903 338
208964.PA3903 208964.PA0004 338
208964.PA0004 208964.PA3961 364
208964.PA3961 208964.PA0004 364
208964.PA0004 208964.PA4012 327
208964.PA4012 208964.PA0004 327
208964.PA0004 208964.PA4031 695
208964.PA4031 208964.PA0004 695
208964.PA0004 208964.PA4530 969
208964.PA4530 208964.PA0004 969
208964.PA0004 208964.PA4599 624
208964.PA4599 208964.PA0004 624
208964.PA0004 208964.PA4662 688
208964.PA4662 208964.PA0004 688
208964.PA0004 208964.PA4670 224
208964.PA4670 208964.PA0004 224
208964.PA0004 208964.PA4673 157
208964.PA4673 208964.PA0004 157
208964.PA0004 208964.PA4686 314
208964.PA4686 208964.PA0004 314
208964.PA0004 208964.PA4742 214
208964.PA4742 208964.PA0004 214
208964.PA0004 208964.PA4761 349
208964.PA4761 208964.PA0004 349
208964.PA0004 208964.PA4768 289
208964.PA4768 208964.PA0004 289
208964.PA0004 208964.PA4873 349
208964.PA4873 208964.PA0004 349
208964.PA0004 208964.PA4946 309
208964.PA4946 208964.PA0004 309
208964.PA0004 208964.PA4964 995
208964.PA4964 208964.PA0004 995
208964.PA0004 208964.PA4967 493
208964.PA4967 208964.PA0004 493
208964.PA0004 208964.PA5022 314
208964.PA5022 208964.PA0004 314
208964.PA0004 208964.PA5503 172
208964.PA5503 208964.PA0004 172
208964.PA0005 208964.PA0439 404
208964.PA0439 208964.PA0005 404
