protein1 protein2 experimental database textmining combined_score
1028307.EAE_00345 1028307.EAE_07030 0 0 238 237
1028307.EAE_00350 1028307.EAE_09905 0 0 269 269
1028307.EAE_00350 1028307.EAE_06005 195 0 99 243
1028307.EAE_00350 1028307.EAE_11285 984 0 682 994
1028307.EAE_00350 1028307.EAE_02920 0 0 680 680
1028307.EAE_00350 1028307.EAE_01850 0 0 259 258
1028307.EAE_00350 1028307.EAE_14485 195 0 99 243
1028307.EAE_00350 1028307.EAE_15075 0 0 681 681
1028307.EAE_00350 1028307.EAE_06500 0 0 477 477
1028307.EAE_00350 1028307.EAE_04315 0 0 184 183
1028307.EAE_00350 1028307.EAE_06405 0 0 380 380
1028307.EAE_00350 1028307.EAE_10730 0 0 202 202
1028307.EAE_00350 1028307.EAE_11280 102 0 682 702
1028307.EAE_00350 1028307.EAE_22530 0 0 681 681
1028307.EAE_00355 1028307.EAE_11545 0 0 194 194
1028307.EAE_00360 1028307.EAE_07595 200 0 183 318
1028307.EAE_00360 1028307.EAE_03480 200 0 232 359
1028307.EAE_00360 1028307.EAE_14900 202 0 0 202
1028307.EAE_00360 1028307.EAE_09345 164 0 0 163
1028307.EAE_00360 1028307.EAE_14510 222 0 0 222
1028307.EAE_00360 1028307.EAE_18840 200 0 183 318
1028307.EAE_00360 1028307.EAE_18220 164 0 0 163
1028307.EAE_00360 1028307.EAE_14420 164 0 0 163
1028307.EAE_00360 1028307.EAE_07680 202 0 0 202
1028307.EAE_00360 1028307.EAE_00320 186 0 0 186
1028307.EAE_00360 1028307.EAE_06245 186 864 270 912
1028307.EAE_00360 1028307.EAE_16895 237 0 0 237
1028307.EAE_00360 1028307.EAE_01970 261 0 0 261
1028307.EAE_00360 1028307.EAE_11965 115 631 135 692
1028307.EAE_00365 1028307.EAE_09655 262 0 181 369
1028307.EAE_00365 1028307.EAE_10140 219 0 0 219
1028307.EAE_00365 1028307.EAE_04140 206 0 0 206
1028307.EAE_00365 1028307.EAE_03860 282 0 212 410
1028307.EAE_00365 1028307.EAE_18975 196 0 54 206
1028307.EAE_00365 1028307.EAE_05375 215 0 0 215
1028307.EAE_00365 1028307.EAE_00370 496 0 327 646
1028307.EAE_00365 1028307.EAE_18030 196 0 54 206
1028307.EAE_00365 1028307.EAE_22210 172 0 0 171
1028307.EAE_00365 1028307.EAE_06040 196 0 54 206
1028307.EAE_00365 1028307.EAE_00375 984 0 583 993
1028307.EAE_00365 1028307.EAE_06200 882 0 181 899
1028307.EAE_00365 1028307.EAE_03960 289 0 94 328
1028307.EAE_00365 1028307.EAE_05345 215 0 0 215
1028307.EAE_00365 1028307.EAE_06145 199 0 83 234
1028307.EAE_00365 1028307.EAE_11210 196 0 182 314
1028307.EAE_00365 1028307.EAE_06210 381 0 114 428
