protein1 protein2 experimental database textmining combined_score
573.JG24_00140 573.JG24_00130 139 0 488 540
573.JG24_00140 573.JG24_00125 0 0 488 487
573.JG24_00140 573.JG24_02885 0 0 167 167
573.JG24_00140 573.JG24_00115 0 0 488 487
573.JG24_00140 573.JG24_01150 0 0 167 167
573.JG24_00145 573.JG24_00150 0 0 489 489
573.JG24_00145 573.JG24_00135 0 0 289 288
573.JG24_00150 573.JG24_02395 104 0 279 326
573.JG24_00150 573.JG24_00160 0 0 225 224
573.JG24_00150 573.JG24_03235 0 0 282 282
573.JG24_00150 573.JG24_00145 0 0 489 489
573.JG24_00150 573.JG24_00135 116 0 650 677
573.JG24_00150 573.JG24_02265 0 0 225 224
573.JG24_00150 573.JG24_15575 0 0 225 224
573.JG24_00150 573.JG24_00130 0 0 650 650
573.JG24_00150 573.JG24_00125 249 0 650 725
573.JG24_00150 573.JG24_29360 0 0 225 224
573.JG24_00150 573.JG24_01920 0 0 225 224
573.JG24_00150 573.JG24_01150 104 0 279 326
573.JG24_00150 573.JG24_21490 0 0 225 224
573.JG24_00150 573.JG24_02035 104 0 279 326
573.JG24_00150 573.JG24_02245 104 0 279 326
573.JG24_00150 573.JG24_00110 104 0 651 673
573.JG24_00150 573.JG24_00610 0 0 225 224
573.JG24_00150 573.JG24_02885 104 0 279 326
573.JG24_00150 573.JG24_00140 0 0 650 650
573.JG24_00150 573.JG24_00115 0 0 650 650
573.JG24_00150 573.JG24_01315 0 0 225 224
573.JG24_00160 573.JG24_08290 0 0 170 169
573.JG24_00160 573.JG24_00150 0 0 225 224
573.JG24_00160 573.JG24_00115 0 0 217 217
573.JG24_00160 573.JG24_00130 0 0 153 152
573.JG24_00210 573.JG24_19200 265 900 0 923
573.JG24_00210 573.JG24_27580 241 517 92 638
573.JG24_00210 573.JG24_29480 241 517 92 638
573.JG24_00210 573.JG24_02790 241 517 92 638
573.JG24_00210 573.JG24_14665 100 132 0 185
573.JG24_00210 573.JG24_29485 0 0 215 215
573.JG24_00210 573.JG24_01795 241 517 92 638
573.JG24_00210 573.JG24_23335 151 0 0 150
573.JG24_00210 573.JG24_16950 241 517 92 638
573.JG24_00210 573.JG24_24745 100 132 0 185
573.JG24_00210 573.JG24_27595 0 0 215 215
573.JG24_00210 573.JG24_22280 241 517 92 638
573.JG24_00210 573.JG24_29660 0 226 140 305
573.JG24_00210 573.JG24_25510 100 0 174 224
573.JG24_00210 573.JG24_18815 241 517 92 638
573.JG24_00210 573.JG24_18820 0 226 140 305
573.JG24_00210 573.JG24_01530 241 517 92 638
573.JG24_00245 573.JG24_02330 207 0 92 249
573.JG24_00245 573.JG24_29920 0 0 167 167
573.JG24_00245 573.JG24_00730 207 0 92 249
573.JG24_00245 573.JG24_02775 207 0 92 249
573.JG24_00245 573.JG24_00805 207 0 92 249
573.JG24_00245 573.JG24_25490 135 0 133 217
573.JG24_00245 573.JG24_18625 135 0 133 217
573.JG24_00245 573.JG24_05645 207 0 92 249
573.JG24_00270 573.JG24_07250 158 0 0 157
573.JG24_00270 573.JG24_07100 0 0 167 167
573.JG24_00270 573.JG24_26540 134 492 166 601
573.JG24_00305 573.JG24_26540 134 492 166 601
573.JG24_00305 573.JG24_07100 0 0 167 167
573.JG24_00305 573.JG24_07250 158 0 0 157
573.JG24_00320 573.JG24_18315 105 96 77 188
573.JG24_00320 573.JG24_24160 0 0 167 167
573.JG24_00320 573.JG24_21515 105 96 90 199
573.JG24_00320 573.JG24_16410 105 96 77 188
573.JG24_00320 573.JG24_26435 0 0 167 167
573.JG24_00320 573.JG24_18360 105 96 77 188
573.JG24_00320 573.JG24_04310 105 96 77 188
573.JG24_00335 573.JG24_17925 0 111 149 211
573.JG24_00335 573.JG24_21770 0 111 201 259
573.JG24_00335 573.JG24_22920 160 0 0 159
573.JG24_00335 573.JG24_22815 243 0 0 242
573.JG24_00335 573.JG24_19755 160 0 0 159
573.JG24_00340 573.JG24_30140 147 0 52 156
573.JG24_00340 573.JG24_00650 195 0 0 195
573.JG24_00350 573.JG24_29920 138 0 90 182
573.JG24_00350 573.JG24_00025 800 0 0 800
573.JG24_00350 573.JG24_01690 800 0 0 800
573.JG24_00425 573.JG24_14140 195 0 60 210
573.JG24_00425 573.JG24_04320 195 0 60 210
573.JG24_00425 573.JG24_07200 195 0 60 210
573.JG24_00425 573.JG24_04325 195 0 60 210
573.JG24_00430 573.JG24_22980 0 0 166 165
573.JG24_00430 573.JG24_09885 0 0 171 171
573.JG24_00430 573.JG24_22255 0 0 176 175
573.JG24_00430 573.JG24_07100 0 0 172 171
573.JG24_00470 573.JG24_00135 116 0 149 215
573.JG24_00470 573.JG24_00125 249 0 149 333
573.JG24_00490 573.JG24_02855 0 0 152 151
573.JG24_00490 573.JG24_00130 0 0 202 202
573.JG24_00490 573.JG24_01185 0 0 152 151
573.JG24_00520 573.JG24_00125 249 0 149 333
573.JG24_00520 573.JG24_00135 116 0 149 215
573.JG24_00570 573.JG24_22255 0 0 176 175
573.JG24_00570 573.JG24_07100 0 0 172 171
573.JG24_00570 573.JG24_09885 0 0 171 171
573.JG24_00570 573.JG24_22980 0 0 166 165
573.JG24_00575 573.JG24_04325 195 0 60 210
573.JG24_00575 573.JG24_07200 195 0 60 210
573.JG24_00575 573.JG24_04320 195 0 60 210
573.JG24_00575 573.JG24_14140 195 0 60 210
573.JG24_00610 573.JG24_08290 0 0 170 169
573.JG24_00610 573.JG24_00150 0 0 225 224
573.JG24_00620 573.JG24_28545 136 0 210 288
573.JG24_00620 573.JG24_06470 233 0 0 232
573.JG24_00645 573.JG24_30140 133 0 90 177
573.JG24_00645 573.JG24_21515 97 107 0 159
573.JG24_00645 573.JG24_00650 168 0 0 167
573.JG24_00650 573.JG24_02125 195 0 0 195
573.JG24_00650 573.JG24_00015 195 0 0 195
573.JG24_00650 573.JG24_11580 168 0 0 167
573.JG24_00650 573.JG24_27085 195 0 0 195
