protein1 protein2 experimental database textmining combined_score
1280.SAXN108_0006 1280.SAXN108_0467 122 0 134 207
1280.SAXN108_0006 1280.SAXN108_2005 122 0 134 207
1280.SAXN108_0006 1280.SAXN108_1372 363 0 700 800
1280.SAXN108_0006 1280.SAXN108_0003 183 0 0 183
1280.SAXN108_0006 1280.SAXN108_1503 250 0 122 313
1280.SAXN108_0006 1280.SAXN108_1234 133 0 63 152
1280.SAXN108_0006 1280.SAXN108_1921 133 0 63 152
1280.SAXN108_0007 1280.SAXN108_0002 0 0 222 222
1280.SAXN108_0007 1280.SAXN108_2477 180 0 0 179
1280.SAXN108_0007 1280.SAXN108_2524 161 0 0 161
1280.SAXN108_0007 1280.SAXN108_1532 164 0 0 163
1280.SAXN108_0007 1280.SAXN108_1371 363 0 246 499
1280.SAXN108_0007 1280.SAXN108_0006 363 0 903 935
1280.SAXN108_0007 1280.SAXN108_1606 232 0 0 231
1280.SAXN108_0007 1280.SAXN108_1672 187 0 0 187
1280.SAXN108_0007 1280.SAXN108_0252 164 0 0 163
1280.SAXN108_0007 1280.SAXN108_0267 163 0 83 199
1280.SAXN108_0007 1280.SAXN108_0001 0 0 222 222
1280.SAXN108_0007 1280.SAXN108_2135 164 0 0 163
1280.SAXN108_0007 1280.SAXN108_1372 0 540 0 540
1280.SAXN108_0007 1280.SAXN108_1765 178 0 0 177
1280.SAXN108_0007 1280.SAXN108_1818 167 0 0 167
1280.SAXN108_0007 1280.SAXN108_1479 0 0 415 414
1280.SAXN108_0007 1280.SAXN108_2495 186 0 0 186
1280.SAXN108_0007 1280.SAXN108_2988 187 0 0 187
1280.SAXN108_0007 1280.SAXN108_2847 163 0 83 199
1280.SAXN108_0007 1280.SAXN108_0463 163 0 83 199
1280.SAXN108_0007 1280.SAXN108_0551 0 0 183 183
1280.SAXN108_0007 1280.SAXN108_2150 0 0 298 298
1280.SAXN108_0007 1280.SAXN108_1280 163 0 83 199
1280.SAXN108_0007 1280.SAXN108_1238 167 0 0 167
1280.SAXN108_0007 1280.SAXN108_1290 171 0 402 483
1280.SAXN108_0007 1280.SAXN108_1771 163 0 83 199
1280.SAXN108_0007 1280.SAXN108_1370 363 0 221 482
1280.SAXN108_0008 1280.SAXN108_1290 171 0 402 483
1280.SAXN108_0008 1280.SAXN108_2477 180 0 0 179
1280.SAXN108_0008 1280.SAXN108_2524 161 0 0 161
1280.SAXN108_0008 1280.SAXN108_1532 164 0 0 163
1280.SAXN108_0008 1280.SAXN108_0002 0 0 222 222
1280.SAXN108_0008 1280.SAXN108_1371 363 0 221 482
1280.SAXN108_0008 1280.SAXN108_1672 187 0 0 187
1280.SAXN108_0008 1280.SAXN108_1606 232 0 0 231
1280.SAXN108_0008 1280.SAXN108_0252 164 0 0 163
1280.SAXN108_0008 1280.SAXN108_0267 163 0 83 199
1280.SAXN108_0008 1280.SAXN108_0006 363 0 414 610
1280.SAXN108_0008 1280.SAXN108_2135 164 0 0 163
1280.SAXN108_0008 1280.SAXN108_0001 0 0 222 222
1280.SAXN108_0008 1280.SAXN108_1765 178 0 0 177
1280.SAXN108_0008 1280.SAXN108_2847 163 0 83 199
1280.SAXN108_0008 1280.SAXN108_0463 163 0 83 199
