protein1 protein2 experimental database textmining combined_score
565664.EFXG_00004 565664.EFXG_02589 156 0 0 155
565664.EFXG_00004 565664.EFXG_02773 159 0 0 158
565664.EFXG_00004 565664.EFXG_01468 157 0 0 156
565664.EFXG_00004 565664.EFXG_00789 129 502 0 547
565664.EFXG_00004 565664.EFXG_02717 156 0 0 155
565664.EFXG_00004 565664.EFXG_01606 177 0 0 177
565664.EFXG_00004 565664.EFXG_00808 384 0 0 384
565664.EFXG_00004 565664.EFXG_00656 384 0 0 384
565664.EFXG_00004 565664.EFXG_02028 203 0 0 203
565664.EFXG_00004 565664.EFXG_00009 159 0 0 158
565664.EFXG_00004 565664.EFXG_01639 212 0 0 212
565664.EFXG_00004 565664.EFXG_00057 212 0 0 212
565664.EFXG_00004 565664.EFXG_00312 203 0 0 203
565664.EFXG_00004 565664.EFXG_02239 226 0 0 225
565664.EFXG_00004 565664.EFXG_01183 226 0 0 225
565664.EFXG_00004 565664.EFXG_00189 383 0 0 382
565664.EFXG_00004 565664.EFXG_01608 196 0 0 196
565664.EFXG_00004 565664.EFXG_01613 384 491 126 702
565664.EFXG_00004 565664.EFXG_00471 315 0 0 315
565664.EFXG_00004 565664.EFXG_01184 161 0 0 161
565664.EFXG_00004 565664.EFXG_00079 185 0 0 185
565664.EFXG_00004 565664.EFXG_03994 131 100 0 184
565664.EFXG_00004 565664.EFXG_00198 280 0 0 280
565664.EFXG_00004 565664.EFXG_02864 131 100 0 184
565664.EFXG_00004 565664.EFXG_00054 815 910 0 982
565664.EFXG_00004 565664.EFXG_02079 160 0 0 159
565664.EFXG_00004 565664.EFXG_01197 189 0 0 189
565664.EFXG_00004 565664.EFXG_00333 212 0 0 212
565664.EFXG_00004 565664.EFXG_02041 212 0 0 212
565664.EFXG_00004 565664.EFXG_01121 280 0 0 280
565664.EFXG_00004 565664.EFXG_01688 163 0 0 163
565664.EFXG_00004 565664.EFXG_00104 157 0 0 156
565664.EFXG_00004 565664.EFXG_02200 156 0 0 155
565664.EFXG_00004 565664.EFXG_00077 159 0 0 158
565664.EFXG_00004 565664.EFXG_00807 206 0 0 206
565664.EFXG_00004 565664.EFXG_01056 166 0 0 165
565664.EFXG_00004 565664.EFXG_01844 157 0 0 156
565664.EFXG_00004 565664.EFXG_00474 157 0 0 156
565664.EFXG_00004 565664.EFXG_01658 203 0 0 203
565664.EFXG_00004 565664.EFXG_01312 274 0 0 274
565664.EFXG_00004 565664.EFXG_02415 131 100 0 184
565664.EFXG_00004 565664.EFXG_01058 159 0 0 158
565664.EFXG_00004 565664.EFXG_01926 176 0 0 175
565664.EFXG_00004 565664.EFXG_00103 157 0 0 156
565664.EFXG_00004 565664.EFXG_00541 156 0 0 155
565664.EFXG_00004 565664.EFXG_00903 203 0 0 203
565664.EFXG_00004 565664.EFXG_04056 131 100 0 184
565664.EFXG_00004 565664.EFXG_00805 346 0 0 345
565664.EFXG_00004 565664.EFXG_01198 212 0 0 212
565664.EFXG_00004 565664.EFXG_01350 162 704 145 769
565664.EFXG_00005 565664.EFXG_02126 163 0 0 163
565664.EFXG_00005 565664.EFXG_01859 163 0 0 163
565664.EFXG_00005 565664.EFXG_02030 162 0 0 161
565664.EFXG_00005 565664.EFXG_02109 162 0 0 161
565664.EFXG_00005 565664.EFXG_01462 161 0 0 161
565664.EFXG_00005 565664.EFXG_00375 162 0 0 161
565664.EFXG_00005 565664.EFXG_01834 162 0 0 161
565664.EFXG_00006 565664.EFXG_01733 165 0 0 165
565664.EFXG_00006 565664.EFXG_02342 245 0 0 244
565664.EFXG_00006 565664.EFXG_02835 361 0 0 361
565664.EFXG_00006 565664.EFXG_00513 165 0 0 165
565664.EFXG_00006 565664.EFXG_00956 165 0 0 165
565664.EFXG_00006 565664.EFXG_02054 165 0 0 165
565664.EFXG_00006 565664.EFXG_01279 159 0 0 158
565664.EFXG_00006 565664.EFXG_00057 189 0 0 189
565664.EFXG_00006 565664.EFXG_00022 165 0 0 165
565664.EFXG_00006 565664.EFXG_01639 165 0 0 165
565664.EFXG_00006 565664.EFXG_01450 159 0 0 158
565664.EFXG_00006 565664.EFXG_00523 165 0 0 165
565664.EFXG_00006 565664.EFXG_00158 159 0 0 158
565664.EFXG_00006 565664.EFXG_01395 151 0 0 150
565664.EFXG_00006 565664.EFXG_01198 165 0 0 165
565664.EFXG_00006 565664.EFXG_00097 193 0 0 193
565664.EFXG_00006 565664.EFXG_00839 236 0 0 236
565664.EFXG_00006 565664.EFXG_02798 160 0 0 159
565664.EFXG_00006 565664.EFXG_02381 165 0 0 165
565664.EFXG_00006 565664.EFXG_04033 160 0 0 159
565664.EFXG_00006 565664.EFXG_02202 156 0 0 155
565664.EFXG_00006 565664.EFXG_00690 160 0 0 159
565664.EFXG_00006 565664.EFXG_00198 160 0 0 159
565664.EFXG_00006 565664.EFXG_00074 236 0 0 236
565664.EFXG_00006 565664.EFXG_00749 208 0 0 208
565664.EFXG_00006 565664.EFXG_00370 165 0 0 165
565664.EFXG_00006 565664.EFXG_02368 165 0 0 165
565664.EFXG_00006 565664.EFXG_01121 160 0 0 159
565664.EFXG_00006 565664.EFXG_01688 317 0 168 407
565664.EFXG_00006 565664.EFXG_00075 160 0 0 159
565664.EFXG_00006 565664.EFXG_00361 271 0 0 271
565664.EFXG_00006 565664.EFXG_04073 160 0 0 159
565664.EFXG_00006 565664.EFXG_01877 157 0 0 156
565664.EFXG_00006 565664.EFXG_00333 165 0 0 165
565664.EFXG_00006 565664.EFXG_02041 165 0 0 165
